CellCode,precipitation
10kmE284N172,573.5111538461539
10kmE284N173,590.8689423076924
10kmE284N174,606.2132692307692
10kmE284N175,627.3212820512822
10kmE284N176,696.0620512820514
10kmE284N177,734.5442307692306
10kmE284N178,765.4446153846153
10kmE284N179,805.88625
10kmE284N180,962.9742307692306
10kmE284N181,940.2603846153844
10kmE284N182,799.4174038461538
10kmE284N183,704.8794230769231
10kmE284N184,618.7540384615384
10kmE284N185,613.5386538461539
10kmE284N186,621.4919230769232
10kmE284N187,615.2558974358975
10kmE284N188,577.9325000000001
10kmE284N189,533.0602564102563
10kmE284N190,501.96057692307704
10kmE284N191,463.5642307692308
10kmE284N192,457.52230769230766
10kmE284N195,601.5948717948719
10kmE284N196,666.102435897436
10kmE284N197,682.3848076923076
10kmE284N198,617.8082692307692
10kmE284N199,554.8667948717949
10kmE284N200,505.3648076923077
10kmE284N226,1462.116923076923
10kmE284N227,1295.6669230769232
10kmE284N228,1398.445512820513
10kmE284N229,1231.1042307692308
10kmE284N230,1107.4542307692307
10kmE284N231,1160.743717948718
10kmE284N232,1278.2065384615385
10kmE284N233,1425.3223076923077
10kmE284N234,1487.8823076923077
10kmE284N235,1396.7153846153844
10kmE284N236,1420.5721153846152
10kmE284N237,1400.321826923077
10kmE284N238,1447.5401923076922
10kmE284N239,1456.4397435897433
10kmE284N240,1421.8237179487178
10kmE284N241,1270.362980769231
10kmE284N242,1158.2879807692307
10kmE284N243,1139.7826923076925
10kmE285N166,540.1261538461539
10kmE285N167,552.9819230769231
10kmE285N169,554.9836538461537
10kmE285N170,562.9051923076922
10kmE285N171,572.0593589743589
10kmE285N172,581.5719230769231
10kmE285N173,615.3655769230769
10kmE285N174,627.9569230769231
10kmE285N175,629.5175
10kmE285N176,698.4089423076923
10kmE285N177,769.182435897436
10kmE285N178,827.6242307692308
10kmE285N179,857.0665384615386
10kmE285N180,977.8214102564103
10kmE285N181,922.9377884615384
10kmE285N182,802.9053846153847
10kmE285N183,765.5988461538461
10kmE285N184,665.8365384615385
10kmE285N185,617.8583653846154
10kmE285N186,654.1588461538462
10kmE285N187,632.0811538461537
10kmE285N188,584.9074038461538
10kmE285N189,519.5842307692309
10kmE285N190,482.94798076923075
10kmE285N191,464.3005128205127
10kmE285N192,465.12076923076916
10kmE285N193,493.5673076923076
10kmE285N194,548.8433333333332
10kmE285N195,606.2092307692308
10kmE285N196,621.915
10kmE285N197,637.828076923077
10kmE285N198,590.9575961538461
10kmE285N199,521.4273076923077
10kmE285N200,483.99474358974356
10kmE285N226,1320.4002564102564
10kmE285N227,1174.3703846153846
10kmE285N228,1122.392307692308
10kmE285N229,1061.3134615384615
10kmE285N230,995.6301282051281
10kmE285N231,989.025
10kmE285N232,1138.9812820512823
10kmE285N233,1362.1121153846152
10kmE285N234,1365.1758653846155
10kmE285N235,1311.9141025641027
10kmE285N236,1289.7934615384615
10kmE285N237,1304.3355128205128
10kmE285N238,1389.209230769231
10kmE285N239,1424.9652884615382
10kmE285N240,1388.276826923077
10kmE285N241,1258.5419230769232
10kmE285N242,1194.0608653846155
10kmE285N243,1226.5790384615384
10kmE285N244,1328.3865384615385
10kmE286N163,544.4515384615386
10kmE286N164,550.2200000000001
10kmE286N165,553.2303846153847
10kmE286N166,565.5641025641027
10kmE286N167,569.6898717948718
10kmE286N168,558.9552564102563
10kmE286N169,557.9558653846154
10kmE286N170,564.8966666666666
10kmE286N171,573.613076923077
10kmE286N172,582.5034615384616
10kmE286N173,613.28125
10kmE286N174,640.4332692307693
10kmE286N175,661.9256410256411
10kmE286N176,722.611282051282
10kmE286N177,778.1111538461538
10kmE286N178,850.8427884615385
10kmE286N179,926.4469230769231
10kmE286N180,973.7036538461538
10kmE286N181,911.2827884615384
